834;Платье женское;164- 84- 88- 90- 94;серо-бежевый;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;НЕТ;1;58;69,6
SS20WJ304;Сорочка женская;170- 42- 44;;Вискоза печать;<>;заказы;НЕТ;58;8;9,6
SU23162;Джемпер женский;170-176- 88- 92- 94- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;1;31;37,2
SU28161;Джемпер женский;44;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;1;45;54
TRW2109PL01;Полувер- Stockholm;46;белый;Х/Б;50% хлопок, 50% акрил;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;1;38;45,6
TRW2109PL01;Полувер- Stockholm;42;белый;Х/Б;50% хлопок, 50% акрил;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;2;38;45,6
TRW2109SW01;Свитер с высоким горлом - Oslo;42;жемчужный;П/Ш бел.;30% шерсть, 70% акрил;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;3;41;49,2
TTS.050.11352.320;Свитер женский;F;азалия;П/Ш бел.;<>;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;1;61;73,2
АБ012;Жакет женский;170-176- 88- 94;;Х/Б;<>;зима;НЕТ;1;15;18
АБ024;Джемпер женский;158-164- 84- 90;;;Шерсть 30% ПАН 70%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;25;30
АБ028;Свитер женский;164- 84- 92;;Х/Б;Хлопок 100%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;20;24
АБ033;Джемпер женский;158-164- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;22;26,4
АБ035;Платье женское;164-104-112;;Х/Б;Хлопок 50%, ПАН 50%;зима;Stoll CMS 530HP multi dangle класс E 6.2;1;35;42
АБ036;Платье женское;170-176-104-110;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 6.2;1;30;36
АБ045;Жилет женский;158-164- 96-102;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;1;20;24
АБ045;Жилет женский;170-176- 96-102;бежевый;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;1;20;24
АБ050;Кардиган женский;158-164- 92- 98;;;ПАН 45%, ПЭ 27% Хлопок 17%, Лен 11%;демисезонный вязаное;Stoll CMS 433TC класс 5;1;36;43,2
АБ050;Кардиган женский;158-164- 96-102;;;ПАН 45%, ПЭ 27% Хлопок 17%, Лен 11%;демисезонный вязаное;Stoll CMS 433TC класс 5;1;36;43,2
АБ051ЛХ;Джемпер женский;170-176- 88- 94;;;Хлопок 95%, Спандекс 5%;лето;НЕТ;1;19;22,8
АБ054ДБ;Джемпер женский;158-164- 84- 90;;;ПАН 42%, Хлопок 33%, Шерсть 19% ПЭ 6%;демисезонный полотно;НЕТ;1;20;24
АБ055ДБ;Брюки женские;158-164- 88- 94;;;Хлопок 84%,ПЭ 16%;демисезонный полотно;НЕТ;1;24;28,8
АБ056;Брюки женские;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;демисезонный вязаное;НЕТ;1;24;28,8
АБ056;Брюки женские;158-164- 92- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;демисезонный вязаное;НЕТ;2;24;28,8
АБ057;Кардиган женский;158-164- 84- 90;;Лен;ПАН 45%  ПЭ 27%,  Хлопок 16% Лен 12%;демисезонный вязаное;Stoll CMS 433TC класс 5;1;19;22,8
АБ067ВВ;Джемпер женский;158-164- 88- 94;;;Вискоза 67%, ПЭ 30% ПУ 3%;демисезонный вязаное;НЕТ;2;15;18
АБ076;Джемпер женский;170-176- 96-102;;Х/Б;Хлопок 49%, ПАН 49% Метанит 2%;демисезонный вязаное;НЕТ;1;25;30
АБ080;Туника женская;170-176- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;30;36
АБ080;Туника женская;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;30;36
АБ080;Туника женская;158-164- 92- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;30;36
АБ080;Туника женская;170-176- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;2;30;36
АБ081;Жилет женский;170-176- 92- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;25;30
АБ082;Жилет женский;170-176- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;20;24
АБ084;Кардиган женский;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;демисезонный вязаное;Universal MC-848 класс 5;1;20;24
АБ086;Джемпер женский;158-164- 92- 98;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;Stoll CMS 433TC класс 5;1;20;24
АБ087;Джемпер женский;152- 84- 90;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;Universal MC-848 класс 5;6;20;24
АБ087;Джемпер женский;170-176- 92- 98;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;Universal MC-848 класс 5;1;20;24
АБ088ЛС;Топ женский;158-164- 88- 94;;Полиэстер однотон;ПЭ 94%, Эластан 6%;лето;НЕТ;1;6;7,2
АБ091;Шарф женский;30-120;;Х/Б;Хлопок 50%  ПАН 50%;зима;Universal MC-848 класс 5;1;6;7,2
АБ092;Жилет женский;170-176- 88- 94;;Х/Б;Хлопок 49%, ПАН 49% Метанит 2%;демисезонный вязаное;НЕТ;1;30;36
АБ095;Джемпер женский;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;20;24
АБ096;Джемпер женский;158-164- 96-102;красный;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;зима;Stoll CMS 433TC класс 5;5;25;30
АБ096;Джемпер женский;158-164-100-106;красный;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;зима;Stoll CMS 433TC класс 5;4;25;30
АБ096;Джемпер женский;158-164-104-110;;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;зима;Stoll CMS 433TC класс 5;1;25;30
АБ096;Джемпер женский;158-164-104-110;красный;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;зима;Stoll CMS 433TC класс 5;1;25;30
АБ096;Джемпер женский;158-164- 92- 98;;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;зима;Stoll CMS 433TC класс 5;1;25;30
АБ096;Джемпер женский;158-164- 96-102;;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;зима;Stoll CMS 433TC класс 5;1;25;30
АБ096;Джемпер женский;158-164-100-106;;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;зима;Stoll CMS 433TC класс 5;1;25;30
АБ096;Джемпер женский;170-176-100-106;;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;зима;Stoll CMS 433TC класс 5;1;25;30
АБ099;Джемпер женский;170-176- 88- 94;;;Меринос 40%, Вискоза 30%, ПА 20%, Кашемир 10%;зима;НЕТ;1;52;62,4
АБ101;Джемпер женский;170-176- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;32;38,4
АБ106;Джемпер женский;158-164- 96-102;;П/Ш бел.;ПАН 67%, Шерсть 30%, Метанит 3%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;25;30
АБ107;Джемпер женский;158-164- 96-102;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;25;30
